Manufacturer,Model,Description,Transmission,Engine Capacity,Fuel Type,Electric energy consumption Miles/kWh,wh/km,Maximum range (Km),Maximum range (Miles),Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel Cost 12000 Miles,Electricity cost,Total cost / 12000 miles,Euro Standard,Noise Level dB(A),Emissions CO [mg/km],THC Emissions [mg/km],Emissions NOx [mg/km],THC + NOx Emissions [mg/km],Particulates [No.] [mg/km],,,,,,,
ALFA ROMEO,"MiTo Series 3, September 2016 Onwards",1.3 JTDm-2 95 bhp,M5,1248,Diesel,,,,,4.3,2.9,3.4,65.7,97.4,83.1,89,£807,,£807,6,67.5,234,,67,100,0.27,,,,,,,
BMW,"1 Series 3-door F21, From September 2012",116d ED Plus 16'' tyres,M6,1496,Diesel,,,,,3.9,3.1,3.4,72.4,91.1,83.1,89,£807,,£807,6,68.0,119,,37,66,0.14,,,,,,,
BMW,"1 Series 5-door F20, From September 2011",116d ED Plus 16'' tyres,M6,1496,Diesel,,,,,3.9,3.1,3.4,72.4,91.1,83.1,89,£807,,£807,6,68.0,119,,37,66,0.14,,,,,,,
CITROEN,C4,BlueHDi 100 S&S,M5,1560,Diesel,,,,,3.7,3.1,3.3,76.3,91.1,85.6,86,£784,,£784,6,68.8,272,,55,74,0.42,,,,,,,
CITROEN,C4 Cactus,BlueHDi 100 S&S ETG6,AMT6,1560,Diesel,,,,,3.9,3.2,3.4,72.4,88.3,83.1,89,£807,,£807,6,69.2,185,,40,53,0.03,,,,,,,
DACIA,"Logan MCV Euro6, 2015",dCi 90,M5,1461,Diesel,,,,,3.7,3.5,3.5,76.4,83.1,80.7,90,£831,,£831,6,73.8,271,,31,98,0.01,,,,,,,
DACIA,Sandero Euro6 2015,dCi 90,M5,1461,Diesel,,,,,3.7,3.4,3.5,76.4,83.1,80.7,90,£831,,£831,6,71.5,155,,30,98,0.00,,,,,,,
DS,DS3,BlueHDi 100 S&S,M5,1560,Diesel,,,,,3.8,3.2,3.4,74.3,88.3,83.1,87,£807,,£807,6,69.4,196,,34,53,0.08,,,,,,,
FIAT,"500 & 500C, September 2015 onwards",1.3 MultiJet 95 bhp,M5,1248,Diesel,,,,,4.1,3.0,3.4,68.9,94.2,83.1,89,£807,,£807,6,71.5,177,,40,86,0.27,,,,,,,
FIAT,"Tipo Hatchback, September 2016 Onwards",1.6 MultiJet 120 bhp Elite (Eco),M6,1598,Diesel,,,,,4.0,3.0,3.4,70.6,94.2,83.1,89,£807,,£807,6,69.0,202,,59,93,0.08,,,,,,,
FIAT,"Tipo Station Wagon, September 2016 Onwards",1.6 MuliJet 120 bhp Elite (Eco),M6,1598,Diesel,,,,,4.0,3.0,3.4,70.6,94.2,83.1,89,£807,,£807,6,69.0,202,,59,93,0.08,,,,,,,
FORD,"All New Fiesta, Model Year Post 2017¾",1.5 TDCi (120PS) With Stop/Start,M6,1499,Diesel,,,,,3.9,3.2,3.5,72.4,88.3,80.7,89,£831,,£831,6,66.4,161,,67,106,0.97,,,,,,,
FORD,"All New Fiesta, Model Year Post 2017¾",1.5 TDCi (85PS) With Stop/Start - 3 Door,M6,1499,Diesel,,,,,3.5,3.0,3.2,80.7,94.2,88.3,82,£760,,£760,6,66.7,241,,58,87,0.50,,,,,,,
FORD,"All New Fiesta, Model Year Post 2017¾",1.5 TDCi (85PS) With Stop/Start - 5 Door,M6,1499,Diesel,,,,,3.7,3.1,3.3,76.3,91.1,85.6,84,£784,,£784,6,66.7,241,,58,87,0.50,,,,,,,
FORD,"Fiesta, Model Year Post 2017¼",1.5 Duratorq TDCi ECOnetic (95PS) Stop-Start ,M5,1499,Diesel,,,,,3.4,3.0,3.2,83.1,94.2,88.3,82,£760,,£760,6,70.0,359,,62,108,0.80,,,,,,,
FORD,"Fiesta, Model Year Pre 2017¼",1.5 Duratorq TDCi ECOnetic (95PS) Stop-Start ,M5,1499,Diesel,,,,,3.4,3.0,3.2,83.1,94.2,88.3,82,£760,,£760,6,70.0,359,,62,108,0.80,,,,,,,
FORD,"Focus, Model Year Post 2017",1.5 Duratorq TDCi (105PS) With Stop/Start - 5 Door,M6,1499,Diesel,,,,,3.8,3.1,3.4,74.3,91.1,83.1,88,£807,,£807,6,69.0,332,,66,97,0.65,,,,,,,
FORD,"Focus, Model Year Post 2017",1.5 Duratorq TDCi (105PS) With Stop/Start - Estate,M6,1499,Diesel,,,,,3.8,3.1,3.4,74.3,91.1,83.1,88,£807,,£807,6,69.0,332,,66,97,0.65,,,,,,,
FORD,"Focus, Model Year Pre 2017",1.5 Duratorq TDCi (105PS) With Stop/Start - 5 Door,M6,1499,Diesel,,,,,3.8,3.1,3.4,74.3,91.1,83.1,88,£807,,£807,6,69.0,332,,66,97,0.65,,,,,,,
FORD,"Focus, Model Year Pre 2017",1.5 Duratorq TDCi (105PS) With Stop/Start - Estate,M6,1499,Diesel,,,,,3.8,3.1,3.4,74.3,91.1,83.1,88,£807,,£807,6,69.0,332,,66,97,0.65,,,,,,,
MAZDA,Mazda2,1.5 SKYACTIV-D (105PS) 5 door,M6,1499,Diesel,,,,,3.8,3.2,3.4,74.3,88.3,83.1,89,£807,,£807,6,66.0,182,,47,61,0.70,,,,,,,
MERCEDES-BENZ,"A-Class, Model Year 2017",A180 d with 16'' rear wheels,M6,1461,Diesel,,,,,3.9,3.2,3.5,72.4,88.3,80.7,89,£831,,£831,6,72.0,277,,53,84,0.30,,,,,,,
MERCEDES-BENZ,"A-Class, Model Year 2018",A 180 d with 16'' rear wheels,M6,1461,Diesel,,,,,3.9,3.2,3.5,72.4,88.3,80.7,89,£831,,£831,6,72.0,277,,53,84,0.30,,,,,,,
MINI,"3-door Hatchback F56, From March 2014",MINI One D - 15'' & 16'' tyres,M6,1496,Diesel,,,,,3.9,3.1,3.4,72.4,91.1,83.1,89,£807,,£807,6,71.0,193,,38,107,0.10,,,,,,,
NISSAN,"K14 Micra, 2017",1461cc 15-16 inch wheel stop start,M5,1461,Diesel,,,,,3.5,3.1,3.2,80.7,91.1,88.3,85,£760,,£760,6,66.0,175,,27,58,0.11,,,,,,,
PEUGEOT,208,1.6 BlueHDi 100,M5,1560,Diesel,,,,,4.2,3.0,3.5,67.3,94.2,80.7,90,£831,,£831,6,68.2,243,,35,52,0.00,,,,,,,
PEUGEOT,208,1.6 BlueHDi 100 S&S,M5,1560,Diesel,,,,,3.6,2.7,3.0,78.5,104.6,94.2,79,£712,,£712,6,68.2,196,,34,53,0.10,,,,,,,
PEUGEOT,208,1.6 BlueHDi 75,M5,1560,Diesel,,,,,4.2,3.0,3.5,67.3,94.2,80.7,90,£831,,£831,6,70.8,243,,35,56,0.10,,,,,,,
PEUGEOT,208,1.6 BlueHDi 75 S&S,M5,1560,Diesel,,,,,3.6,2.7,3.0,78.5,104.6,94.2,79,£712,,£712,6,70.8,196,,34,53,0.10,,,,,,,
PEUGEOT,308,1.6 BlueHDi 120 S&S Active,M6,1560,Diesel,,,,,3.5,2.9,3.1,80.7,97.4,91.1,82,£737,,£737,6,68.3,170,,62,74,0.00,,,,,,,
PEUGEOT,308,1.6 BlueHDi 120 S&S Allure,M6,1560,Diesel,,,,,3.6,3.0,3.2,78.5,94.2,88.3,84,£760,,£760,6,68.3,118,,62,70,0.10,,,,,,,
PEUGEOT,2008,1.6 BlueHDi 100 S&S,M5,1560,Diesel,,,,,3.9,3.3,3.5,72.4,85.6,80.7,90,£831,,£831,6,68.0,267,,53,76,0.20,,,,,,,
PEUGEOT,308 SW,1.6 BlueHDi 120 S&S Active,M6,1560,Diesel,,,,,3.6,3.0,3.2,78.5,94.2,88.3,85,£760,,£760,6,68.3,118,,62,70,0.10,,,,,,,
